Episode 172	length: 145	reward: 145.0	 ewma reward: 158.6204314374985
Episode 173	length: 113	reward: 113.0	 ewma reward: 156.33940986562357
Episode 174	length: 116	reward: 116.0	 ewma reward: 154.3224393723424
Episode 175	length: 93	reward: 93.0	 ewma reward: 151.25631740372526
Episode 176	length: 124	reward: 124.0	 ewma reward: 149.893501533539
Episode 177	length: 72	reward: 72.0	 ewma reward: 145.99882645686202
Episode 178	length: 84	reward: 84.0	 ewma reward: 142.8988851340189
Episode 179	length: 109	reward: 109.0	 ewma reward: 141.20394087731796
Episode 180	length: 83	reward: 83.0	 ewma reward: 138.29374383345206
Episode 181	length: 102	reward: 102.0	 ewma reward: 136.47905664177944
Episode 182	length: 96	reward: 96.0	 ewma reward: 134.45510380969046
Episode 183	length: 86	reward: 86.0	 ewma reward: 132.03234861920592
Episode 184	length: 78	reward: 78.0	 ewma reward: 129.3307311882456
Episode 185	length: 80	reward: 80.0	 ewma reward: 126.86419462883332
Episode 186	length: 67	reward: 67.0	 ewma reward: 123.87098489739164
Episode 187	length: 83	reward: 83.0	 ewma reward: 121.82743565252206
Episode 188	length: 90	reward: 90.0	 ewma reward: 120.23606386989594
Episode 189	length: 88	reward: 88.0	 ewma reward: 118.62426067640115
Episode 190	length: 114	reward: 114.0	 ewma reward: 118.3930476425811
Episode 191	length: 72	reward: 72.0	 ewma reward: 116.07339526045203
Episode 192	length: 80	reward: 80.0	 ewma reward: 114.26972549742942
Episode 193	length: 83	reward: 83.0	 ewma reward: 112.70623922255795
Episode 194	length: 95	reward: 95.0	 ewma reward: 111.82092726143006
Episode 195	length: 74	reward: 74.0	 ewma reward: 109.92988089835855
Episode 196	length: 86	reward: 86.0	 ewma reward: 108.7333868534406
Episode 197	length: 106	reward: 106.0	 ewma reward: 108.59671751076857
Episode 198	length: 90	reward: 90.0	 ewma reward: 107.66688163523014
Episode 199	length: 83	reward: 83.0	 ewma reward: 106.43353755346864
Episode 200	length: 76	reward: 76.0	 ewma reward: 104.9118606757952
Episode 201	length: 61	reward: 61.0	 ewma reward: 102.71626764200543
Episode 202	length: 81	reward: 81.0	 ewma reward: 101.63045425990515
Episode 203	length: 76	reward: 76.0	 ewma reward: 100.34893154690988
Episode 204	length: 80	reward: 80.0	 ewma reward: 99.33148496956439
Episode 205	length: 64	reward: 64.0	 ewma reward: 97.56491072108616
Episode 206	length: 88	reward: 88.0	 ewma reward: 97.08666518503186
Episode 207	length: 77	reward: 77.0	 ewma reward: 96.08233192578025
Episode 208	length: 99	reward: 99.0	 ewma reward: 96.22821532949123
Episode 209	length: 108	reward: 108.0	 ewma reward: 96.81680456301667
Episode 210	length: 113	reward: 113.0	 ewma reward: 97.62596433486584
Episode 211	length: 103	reward: 103.0	 ewma reward: 97.89466611812254
Episode 212	length: 93	reward: 93.0	 ewma reward: 97.64993281221642
Episode 213	length: 126	reward: 126.0	 ewma reward: 99.06743617160559
Episode 214	length: 94	reward: 94.0	 ewma reward: 98.81406436302531
Episode 215	length: 85	reward: 85.0	 ewma reward: 98.12336114487404
Episode 216	length: 101	reward: 101.0	 ewma reward: 98.26719308763033
Episode 217	length: 93	reward: 93.0	 ewma reward: 98.00383343324881
Episode 218	length: 86	reward: 86.0	 ewma reward: 97.40364176158637
Episode 219	length: 86	reward: 86.0	 ewma reward: 96.83345967350705
Episode 220	length: 118	reward: 118.0	 ewma reward: 97.8917866898317
Episode 221	length: 95	reward: 95.0	 ewma reward: 97.74719735534012
Episode 222	length: 87	reward: 87.0	 ewma reward: 97.2098374875731
Episode 223	length: 93	reward: 93.0	 ewma reward: 96.99934561319445
Episode 224	length: 167	reward: 167.0	 ewma reward: 100.49937833253472
Episode 225	length: 100	reward: 100.0	 ewma reward: 100.47440941590797
Episode 226	length: 92	reward: 92.0	 ewma reward: 100.05068894511257
Episode 227	length: 200	reward: 200.0	 ewma reward: 105.04815449785694
Episode 228	length: 133	reward: 133.0	 ewma reward: 106.4457467729641
Episode 229	length: 166	reward: 166.0	 ewma reward: 109.42345943431589
Episode 230	length: 131	reward: 131.0	 ewma reward: 110.50228646260008
Episode 231	length: 200	reward: 200.0	 ewma reward: 114.97717213947007
Episode 232	length: 159	reward: 159.0	 ewma reward: 117.17831353249656
Episode 233	length: 200	reward: 200.0	 ewma reward: 121.31939785587173
Episode 234	length: 200	reward: 200.0	 ewma reward: 125.25342796307814
Episode 235	length: 139	reward: 139.0	 ewma reward: 125.94075656492423
Episode 236	length: 159	reward: 159.0	 ewma reward: 127.59371873667801
Episode 237	length: 176	reward: 176.0	 ewma reward: 130.0140327998441
Episode 238	length: 125	reward: 125.0	 ewma reward: 129.76333115985187
Episode 239	length: 185	reward: 185.0	 ewma reward: 132.52516460185927
Episode 240	length: 188	reward: 188.0	 ewma reward: 135.2989063717663
Episode 241	length: 196	reward: 196.0	 ewma reward: 138.33396105317797
Episode 242	length: 166	reward: 166.0	 ewma reward: 139.71726300051907
Episode 243	length: 161	reward: 161.0	 ewma reward: 140.78139985049313
Episode 244	length: 151	reward: 151.0	 ewma reward: 141.29232985796847
Episode 245	length: 200	reward: 200.0	 ewma reward: 144.22771336507003
Episode 246	length: 200	reward: 200.0	 ewma reward: 147.01632769681652
Episode 247	length: 199	reward: 199.0	 ewma reward: 149.61551131197567
Episode 248	length: 200	reward: 200.0	 ewma reward: 152.1347357463769
Episode 249	length: 200	reward: 200.0	 ewma reward: 154.52799895905804
Episode 250	length: 200	reward: 200.0	 ewma reward: 156.80159901110514
Episode 251	length: 200	reward: 200.0	 ewma reward: 158.96151906054988
Episode 252	length: 200	reward: 200.0	 ewma reward: 161.01344310752236
Episode 253	length: 200	reward: 200.0	 ewma reward: 162.96277095214623
Episode 254	length: 200	reward: 200.0	 ewma reward: 164.8146324045389
Episode 255	length: 200	reward: 200.0	 ewma reward: 166.57390078431195
Episode 256	length: 200	reward: 200.0	 ewma reward: 168.24520574509634
Episode 257	length: 200	reward: 200.0	 ewma reward: 169.8329454578415
Episode 258	length: 200	reward: 200.0	 ewma reward: 171.3412981849494
Episode 259	length: 200	reward: 200.0	 ewma reward: 172.77423327570193
Episode 260	length: 200	reward: 200.0	 ewma reward: 174.13552161191683
Episode 261	length: 200	reward: 200.0	 ewma reward: 175.42874553132097
Episode 262	length: 200	reward: 200.0	 ewma reward: 176.65730825475492
Episode 263	length: 200	reward: 200.0	 ewma reward: 177.82444284201716
Episode 264	length: 200	reward: 200.0	 ewma reward: 178.9332206999163
Episode 265	length: 200	reward: 200.0	 ewma reward: 179.98655966492046
Episode 266	length: 200	reward: 200.0	 ewma reward: 180.98723168167444
Episode 267	length: 200	reward: 200.0	 ewma reward: 181.93787009759072
Episode 268	length: 200	reward: 200.0	 ewma reward: 182.84097659271117
Episode 269	length: 200	reward: 200.0	 ewma reward: 183.6989277630756
Episode 270	length: 200	reward: 200.0	 ewma reward: 184.51398137492183
Episode 271	length: 200	reward: 200.0	 ewma reward: 185.28828230617572
Episode 272	length: 200	reward: 200.0	 ewma reward: 186.02386819086692
Episode 273	length: 200	reward: 200.0	 ewma reward: 186.72267478132358
Episode 274	length: 200	reward: 200.0	 ewma reward: 187.3865410422574
Episode 275	length: 200	reward: 200.0	 ewma reward: 188.0172139901445
Episode 276	length: 200	reward: 200.0	 ewma reward: 188.61635329063728
Episode 277	length: 200	reward: 200.0	 ewma reward: 189.1855356261054
Episode 278	length: 200	reward: 200.0	 ewma reward: 189.72625884480013
Episode 279	length: 200	reward: 200.0	 ewma reward: 190.23994590256012
Episode 280	length: 192	reward: 192.0	 ewma reward: 190.3279486074321
Episode 281	length: 200	reward: 200.0	 ewma reward: 190.81155117706047
Episode 282	length: 185	reward: 185.0	 ewma reward: 190.52097361820742
Episode 283	length: 200	reward: 200.0	 ewma reward: 190.99492493729704
Episode 284	length: 193	reward: 193.0	 ewma reward: 191.0951786904322
Episode 285	length: 200	reward: 200.0	 ewma reward: 191.54041975591056
Episode 286	length: 200	reward: 200.0	 ewma reward: 191.963398768115
Episode 287	length: 200	reward: 200.0	 ewma reward: 192.36522882970925
Episode 288	length: 200	reward: 200.0	 ewma reward: 192.7469673882238
Episode 289	length: 200	reward: 200.0	 ewma reward: 193.1096190188126
Episode 290	length: 200	reward: 200.0	 ewma reward: 193.45413806787195
Episode 291	length: 200	reward: 200.0	 ewma reward: 193.78143116447833
Episode 292	length: 200	reward: 200.0	 ewma reward: 194.0923596062544
Episode 293	length: 200	reward: 200.0	 ewma reward: 194.3877416259417
Episode 294	length: 200	reward: 200.0	 ewma reward: 194.6683545446446
Episode 295	length: 200	reward: 200.0	 ewma reward: 194.93493681741234
Episode 296	length: 200	reward: 200.0	 ewma reward: 195.1881899765417
Solved! Running reward is now 195.1881899765417 and the last episode runs to 200 time steps!
